ID,study,resource,donation,pie
m2hfzvvk,Study 1,Money,2,10
owuxiq18,Study 1,Money,2,10
qyvp6o6k,Study 1,Money,0,10
iz0of12s,Study 1,Money,0,10
b2622qo7,Study 1,Money,5,10
9tl30n4x,Study 1,Money,3,10
xh0hueex,Study 1,Money,0,10
ddyrmskn,Study 1,Money,5,10
1i0s21mj,Study 1,Money,5,10
8wgnfyn9,Study 1,Money,2,10
x69maqa0,Study 1,Money,0,10
tid1nbzg,Study 1,Money,4,10
21f05xy1,Study 1,Money,2,10
9ekvyb87,Study 1,Money,5,10
fwc1oa4t,Study 1,Money,0,10
igwwixlo,Study 1,Money,0,10
qh08clg2,Study 1,Money,0,10
2zz6m2il,Study 1,Money,5,10
uzdo5ae3,Study 1,Money,0,10
fbb5mwj0,Study 1,Money,0,10
a8ctbe82,Study 1,Money,0,10
bctb4gar,Study 1,Money,1,10
oeu12o8p,Study 1,Bic pen,5,10
t6zpt78f,Study 1,Bic pen,5,10
m7v1toqt,Study 1,Bic pen,7,10
ji3vau6q,Study 1,Bic pen,10,10
uwjx0juy,Study 1,Bic pen,0,10
owzbyaif,Study 1,Bic pen,0,10
cuhf50er,Study 1,Bic pen,7,10
qh0b92qm,Study 1,Bic pen,5,10
g0r0jj2x,Study 1,Bic pen,3,10
0ao3e9lq,Study 1,Bic pen,5,10
qul2tqrv,Study 1,Bic pen,5,10
2ips1jl4,Study 1,Bic pen,5,10
76bkgk1y,Study 1,Bic pen,4,10
6oqcj3wl,Study 1,Bic pen,4,10
3mdcukje,Study 1,KitKat,4,10
7zcyszqy,Study 1,KitKat,0,10
nliw48u1,Study 1,KitKat,2,10
7qaqfwo3,Study 1,KitKat,3,10
ejtji3kj,Study 1,KitKat,3,10
v7gu3sua,Study 1,KitKat,0,10
tgrqgd60,Study 1,KitKat,2,10
q9meur1z,Study 1,KitKat,0,10
h427e23s,Study 1,KitKat,2,10
7ypzuz32,Study 1,KitKat,5,10
nv3e82os,Study 1,KitKat,2,10
epbp778v,Study 1,KitKat,5,10
sp1xn2bu,Study 1,KitKat,5,10
stignrdy,Study 1,KitKat,0,10
19oel8s7,Study 1,KitKat,2,10
cet4765u,Study 1,KitKat,2,10
07uq90ge,Study 1,KitKat,3,10
rg4qrb25,Study 1,KitKat,5,10
mnzt02sm,Study 1,KitKat,6,10
r38hnu2q,Study 1,KitKat,2,10
9apavdko,Study 1,Bic pen,0,10
1zv42l2i,Study 1,Bic pen,3,10
ommn2dez,Study 1,Bic pen,0,10
khlclpkw,Study 1,Bic pen,5,10
e5l2chrb,Study 1,Bic pen,3,10
m8jgukx8,Study 1,Bic pen,0,10
kqfnk5a6,Study 1,Bic pen,5,10
hm0bpqlh,Study 1,Bic pen,0,10
a6y9ef4p,Study 1,Bic pen,5,10
6ikmntch,Study 1,Bic pen,9,10
7zla5ugb,Study 1,Bic pen,5,10
100o2hlf,Study 1,Bic pen,5,10
13n23f5i,Study 1,Bic pen,5,10
9bwanaqz,Study 1,Bic pen,5,10
en7ol5v3,Study 1,Bic pen,5,10
5as6k011,Study 1,Bic pen,5,10
bln3laua,Study 1,Bic pen,5,10
as28j8ve,Study 1,Bic pen,8,10
u8aqnz4m,Study 1,Bic pen,4,10
0qxwk97n,Study 1,Bic pen,5,10
bqsxu1xy,Study 1,Bic pen,0,10
iv52n302,Study 1,Bic pen,5,10
6ov9v3hx,Study 1,Bic pen,5,10
5imbxol7,Study 1,Bic pen,5,10
ny7pjl5v,Study 1,Bic pen,5,10
ntahcvv0,Study 1,Bic pen,1,10
s1c132wz,Study 1,Coke can,2,10
ox8hnfpw,Study 1,Coke can,5,10
egh938mf,Study 1,Coke can,5,10
51w2c7en,Study 1,Coke can,2,10
aiu5t33s,Study 1,Coke can,10,10
5enrece4,Study 1,Coke can,5,10
kttqoomo,Study 1,Coke can,5,10
vktc4s2a,Study 1,Coke can,5,10
ukv46jkp,Study 1,Coke can,0,10
njdhgnl6,Study 1,Coke can,10,10
e74onooy,Study 1,Coke can,0,10
7n7i5dv0,Study 1,Coke can,4,10
t2o0gt6y,Study 1,Coke can,4,10
czo7qx8t,Study 1,Coke can,2,10
4tsal1f7,Study 1,Coke can,1,10
hxzwuwnw,Study 1,Coke can,5,10
encddgz3,Study 1,Coke can,5,10
3b4ll1ez,Study 1,Coke can,3,10
9gj2t7vi,Study 1,Coke can,0,10
bf3e9e4l,Study 1,Coke can,0,10
6o75o86u,Study 1,Money,1,10
ebwqhbw6,Study 1,Money,0,10
qvpzts87,Study 1,Money,2,10
f8alzega,Study 1,Money,4,10
5x8f8n24,Study 1,Money,0,10
