ID,explain_diff,classification_diff
R_5gkFPADTS8ChOFG,i gave myself more money than oatmeal packets because i like money more,DESIRABILITY
R_7yNuX0OR7rZvvdT,"I allocated the same amount of oatmeal and money to her as I did to me, because I think that's the fairest thing to do",SOCIALNORM
R_6DvvLpE32XhfovG,I wanted the money and did not want the sugar packets. So I gave my partner all the sugar packets and myself all the money.,DESIRABILITY
R_3eQYiMpzbwQLOWu,"I think that money is more serious, and people will feel more upset about an uneven split regarding money. So that is why I allocated the money evenly. However, I don't think people would be that upset about the oatmeal allocation. Therefore, since I really enjoy the oatmeal, I did decide to give more to myself than to my partner.",SOCIALNORM
R_3PTNTTt4Jv1cQUx,I allocated more oatmeal than money to the other person because I don't like oatmeal.,DESIRABILITY
R_6SxbLLXTTD6eETY,"I allocated one unit lower of money than brown sugar to my partner because I have no emotional attachment to them, and dollar bills are more valuable. I wanted to benefit myself without being too unfair, so I took one extra dollar than I did oatmeal packets.",FUNGIBILITY
R_7jNYCeh1AOup6yJ,"I allocated a lower proportion of money than brown sugar oatmeal packets because I personally do not like oatmeal. I know we both like money so I divided that evenly, but the oatmeal I gave him 8 because maybe he likes oatmeal or has friends/roommates who would eat it if he does not.",DESIRABILITY
R_5PcHHuUTeoKgTKK,"I feel the money has much higher value than the packets. It would only be fair to split the ones that I feel have the higher value. Since I am the one making the decision, I made it based on what would be fair for both of us.",SOCIALNORM
R_3CfIXPxSxaziz9T,for both the money and brown sugar are split evenly because that means we both are equally satisfied with the result.,SOCIALNORM
R_3qNH9SlfkTNMRGR,"Both the oatmeal packets and $10 were significantly small things. To not split/share them with my partner wouldn't make much sense to me, and there's no better way to split it drawling the line right down the middle.",SOCIALNORM
R_1ERsI5tKN5pw85g,I gave myself more money than brown sugar oatmeal packets by 2 units because the oatmeal doesn't hold as much value to me than the money. I don't need the oatmeal as much as the money but I don't necessarily need the couple bucks exponentially more,SATIATION
R_5JgXhzrJXG3rozy,I have us both half for each so ether way we walk away with the same amount which is fair for both of us,SOCIALNORM
R_1HZeEIcEz4Xok3P,"I allocated the same amount because it felt like the most fair option. I am not sure if my partner likes oatmeal, but in the case that he does I wanted to give him something and splitting it even seemed the most right",SOCIALNORM
R_7B8W4xhgpm3svgo,"Yes, I allocated the same proportion because I wanted us to be equal because I see us as equals.",SOCIALNORM
R_65HQsxqWpUUZyBX,"I allocated the same proportion of money as brown sugar oatmeal packets with the other participant because I believe it is almost like the same thing. They both have monetary value, but there is an even demand between the two us for both items which is why it is only fair to share it equally. It would be unfair or unjust to split a higher proportion for myself when the other participant also has an equal need for the items.",SOCIALNORM
R_139WcT7S0DVGvHL,I allocated the same proportion because I thought that would be the fairest. No one would get upset they received less.,SOCIALNORM
R_1in4gKFencMMvT3,because it is the most fair way to split what we were given.,SOCIALNORM
R_7BVk9Sk10JpuwU1,"I allocated the same proportion of both because neither of the items hold significance to me, and I thought that I would feel happy if my partner shared with me, not necessarily because I want the item but just because it was kind so I did it for them.",SOCIALNORM
R_3fPpqG32QKGtNRK,"I allocated a lower proportion of money than oatmeal packets to my partner because I felt as if I had more use for the money than I did the oatmeal packets. However, I did not want to take too much of the money, so I split the money 50% each. Whereas with the oatmeal, I gave my partner 70% of the oatmeal because I assumed they would benefit more with the oatmeal than I would have.",FUNGIBILITY
R_6DOSRp2h1HvXM9V,I allocated the same proportion. This is so it would all be equal between the two of us.,SOCIALNORM
R_6Les3rzd5SHp79y,I think we both deserve half of it. I don't need all the oatmeal packs. If the money is being given as a gift to both of us I won't keep all of it.,SOCIALNORM
R_6EFwSIbHthmaJip,"I allocated a lower number of money compared to the oatmeal packets because money is something that both of us most likely value, so I thought it was only fair that we both get an equal amount. In addition, I gave my partner more oatmeal packets because like I said previously, I don't usually eat breakfast and wouldn't get anything out of keeping them for myself.",SATIATION
R_1vw0IEAZCnBpj2x,I allocated the same proportion of money and brown sugar to make the situation even for both of us. I did this because I thought it was right,SOCIALNORM
R_1z6JOIfKtivi3pJ,I allocated a higher portion of money than of brown sugar oatmeal packets to the other participant because I predicted that there would be a second dividing of items and so I would be able to split the total items evenly while getting more perceived value (since I value the packets as greater than $1),FUNGIBILITY
R_6BNxp7RsNtqnFL3,I allocated the same proportion. I do not need either of those items so I gave them to my study partner.,SATIATION
R_1Gpqa2VKMIT7pwK,money has more value for people. I like oatmeal. Maybe my counterpart could get a coffee.,DESIRABILITY
R_7CU9jTIdrOJlxgz,"I allocated a lower proportion of money than of brown sugar oatmeal packets to my partner because I do not eat brown sugar oatmeal, so I gave all of them to my partner.",SATIATION
R_702e3HpRGwgDr4N,I allocated the same proportion of money as of brown sugar oatmeal packets to her. I think she gives me good impression. I should share half of money and oatmeal packets to her. We can be equal.,SOCIALNORM
R_5HTSf1aFRRdFXFc,"Since we just met, I think an even split is the most ideal. I don't know her needs or preferences yet, so just splitting evenly allows us to walk away on an equal playing field.",SOCIALNORM
R_6pfP0c4WEQwnAwY,"I allocated the same proportion of money as brown sugar because I dont know much about my partner, such as their financial situation, background, etc, so I figured it's only fair to go 50-50 on everything. I see both these objects as somehting to be split evenly in order to be fair",SOCIALNORM
R_1BlChKHfQNZPS1y,"I allocated my partner 6 brown sugar oatmeal packets and 5 dollar bills simply because I was evaluating our desires and how much we would actually want both. I personally am not a big fan of oatmeal, so I decided to give my partner more.",SATIATION
R_7WwszGq6tEjVUVX,"I allocated a lower proportion of money than of brown sugar oatmeal packets to the other participant because I find value in money more than I do of oatmeal. Since I wanted some money and did not care for oatmeal, I split the money in half so that we both benefitted equally. Although I could have allotted myself more money than my partner and we still would have had more money than we started off with, I am not in desperate need for $5 more dollars, and I did not want to be selfish or rude. However, since I do not think I would eat oatmeal or have any use for it, I allowed my partner to have it all, so it did not go to waste under my supervision.",SOCIALNORM
R_58M77OJw85aGRXI,I did both the same. 5 and 5 because i believed that was the best way to do it. I would be a fair and just person for doing this.,SOCIALNORM
R_3ffRyxYhBevSK0z,"I did the same amount for both, and that was an even split. I simply wanted to be fair!",SOCIALNORM
R_3g8ywbBwsGReQ0x,I allocated a lower portion of money than brown sugar oatmeal packets to my partner because money is something I value more so wanted to split even instead of giving them more.,DESIRABILITY
R_3IC4dkEJ2DlJEVr,"I allocated a lower amount of money because money is more important to me than food. So, I rather give more oatmeal than money.",SATIATION
R_5Ey4DwBATJke6Xb,"I allocated for the same proportion of money as of brown sugar packets to remain fair across the board. In these kinds of situations, I'm always for being as fair as possible and so I would split both evenly.",SOCIALNORM
R_7q1Fl3JSIVn3kxp,I allocate the same for money and oatmeal packets because money and food have similar value to me and i would want both of those things to be split with me if my partner were to choose.,DESIRABILITY
R_1OoSljyK7oOTmJw,I allocated us the same amount because that seems like the fairest option.,SOCIALNORM
R_6FEfys9CdrrQMm6,I allocated a lower proportion of money than brown sugar oatmeal packets because I have use for the money. I do not see myself ever eating the oatmeal so it would be wasteful to take it. With the money I could go buy Chick-Fil-A and use it.,SATIATION
R_6kBW992pcIZrEH8,"I allocated the same. I think my partner is chill, so I would want it to be fair.",SOCIALNORM
R_3rpQNSlG3HVyfD3,"I feel like it was important to be fair. My partner seemed very nice and caring about me, and I feel she deserved half of what was offered.",SOCIALNORM
R_6ldGa33LJQFHEmB,"I allocated the same for each because like I said I hadn't known I was getting 10 dollars or 10 oatmeal's , nor did I earn them so splitting them is no problem for me along as I got something and again good karma points .",SOCIALNORM
R_3y4QwJmQv4tdSp3,"Again, money is equally beneficial to both of us but oatmeal, in my opinion, is not. I don't like oatmeal, so I gave her the larger share of that resource.",DESIRABILITY
R_3EAGK3B0XohFw8P,"I gave my partner a lower amount of oatmeal packets than money because I am not sure if my partner likes oatmeal, so with the amount of money I gave him, he can go buy a different snack or oatmeal if he really wants it. That way we both benefit.",FUNGIBILITY
R_3f6Cv41aqHs4bTm,"Both options were trivial, and they do not require too much of a fight about them. I would not want to worry about hurt feelings over something so small, so I would equally split it.",SOCIALNORM
R_6ON2HbvTAVaPGe1,I allocated a much lower proportion of money than oatmeal to my parter. This is due to the fact that I can actually use the money and not the oatmeal. I cannot eat oatmeal as I am allergic to it.,PERISHABILITY
R_63wCU7gNPmkiSv4,I allocated a lower proportion of brown sugar oatmeal packets to myself because I do not enjoy/would not use the packets as much as I would use the money.,SATIATION
R_1gT2ErxLXwPFSxt,I gave both the same amount. It is even that way,SOCIALNORM
R_1JLzWhrk9YuPtLs,"I allocated a lower portion of money than oatmeal packets because money is more valuable. I wanted to keep that fair, but with the oatmeal either having or not having the oatmeal wouldn't affect me for the better or worse.",DESIRABILITY
R_7HRdvtd1YbBWwed,Sharing food with a fresh acquaintance feels more understandable and kind than the act of randomly offering $1 bills.,SOCIALNORM
R_3Y2NMzaevqx8wbB,"None of us were liable to the cost of obtaining either money or brown sugar packets and since we are both in the equation of distribution, I think its fair that we can split it equally since no one really earned it personally.",SOCIALNORM
R_1o4HakvLg9bcfsc,I allocated the same because 5 each is the fairest way to distribute it. I think most people would do the same anyways.,SOCIALNORM
R_3uK76hEd1Hdaiui,I thought it was only fair to give her half. It would be selfish for me to take all of the oatmeal.,SOCIALNORM
R_3dQc2WIfRWz40eT,Lower money because I wanted the money too. Gave a lot of packets because I dont need them.,SATIATION
R_1FIrccdG1FuTrAi,"I allocated the same amounts of each. Regardless of what item is, or whether it's positive or negative, we should both be given an equal amount because I should not be responsible to make that decision for the both of us.",SOCIALNORM
R_6K2sbpej2C9llZ2,The money meant more to me then the brown sugars which is why I gave more brown sugars off my plate then the money at hand because I had different priorities in that instant/case.,DESIRABILITY
R_6QrT6vn1XXRYCtk,it's not fair i get more or less. i also do not know what he wants so we give equal at first,SOCIALNORM
R_7im1zR6fJdDkb2w,I allocated the same proportion of money as of brown sugar oatmeal packets to the other participant because I believe it would be fair to split the packets and dollars evenly between the two of us. This way no one is treating the other unfair and taking more than they should.,SOCIALNORM
R_3ghgAICsL5S4Cld,It just seems fair. We worked equally hard and therefore we deserve the same prize.,SOCIALNORM
R_7mn1yBYp9J9XI0U,"I allocated a lower proportion of money because I can use the money just as much as my other participant can. However, I don't eat oatmeal so I gave them all the oatmeal.",FUNGIBILITY
