ID,explain_money,classification
R_5gkFPADTS8ChOFG,i like money more than oatmeal cookies,DESIRABILITY
R_7yNuX0OR7rZvvdT,"I think it's the right thing to do, and I'm hoping she will choose the same thing, that way we can both get the same amount of money.",SOCIALNORM
R_6DvvLpE32XhfovG,Because I want the money and I do not know my partner. I also think I would put this money to good use at the bar.,SOCIALNORM
R_3eQYiMpzbwQLOWu,"Money is a very tricky and serious thing, so I decided to go completely even on it so that nobody felt upset or cheated on. I think that money is an important thing to share in this case.",SOCIALNORM
R_3PTNTTt4Jv1cQUx,"Since it was randomly given to us (not earned), I decided to split it evenly amongst the two of us.",SOCIALNORM
R_6SxbLLXTTD6eETY,"I allocated slightly more money to myself as I have just met this person and do not have any personal or emotional connection to them. I wanted to be somewhat fair, so I only took one extra dollar for myself and gave the rest to my partner.",SOCIALNORM
R_7jNYCeh1AOup6yJ,"My thought process was that we would just split the $10 fairly, so that we each get $5. After talking with my partner, we are both here as a requirement for class, so I thought it was fair that we would both get the same amount for doing something with for a class and being good students.",SOCIALNORM
R_5PcHHuUTeoKgTKK,I gave 5 to each of us because I feel that we both value the money. I feel that it would be most fair for us to split it evenly.,SOCIALNORM
R_3CfIXPxSxaziz9T,"I think the money should be split evenly. regardless of what the product is, the best way to have both people satisfied with the result is by splitting it 50/50.",SOCIALNORM
R_3qNH9SlfkTNMRGR,"Just like the answer to the question above, felt it would be fair to split the money with my partner so we each get 50% of it.",SOCIALNORM
R_1ERsI5tKN5pw85g,Because taking more than half wouldn't benefit me much so might as well chop it down the middle,SATIATION
R_5JgXhzrJXG3rozy,I gave us each half because that is the most fair option. We each get the same amount,SOCIALNORM
R_1HZeEIcEz4Xok3P,"5 and 5 made the most sense in this scenario because it felt fair. I didn't feel the need to give up more than 5 dollars because I don't know very much about my partner, but didn't want to give less than 5 in the case he would appreciate the $5.",SOCIALNORM
R_7B8W4xhgpm3svgo,"I'm not greedy. I feel like since I didn't earn the money and it was just randomly given to me, I don't mind splitting it.",SOCIALNORM
R_65HQsxqWpUUZyBX,"I allocated the portion of $10 evenly between myself and the other participant because I know that we both can use the money, and it wouldn't be fair to take it all or more. My family raised me to share and be equal with others which is why is split the $10 evenly between us.",SOCIALNORM
R_139WcT7S0DVGvHL,I split the dollars evenly. I thought that this would be the fairest.,SOCIALNORM
R_1in4gKFencMMvT3,We should split the money evenly because it is the most fair.,SOCIALNORM
R_7BVk9Sk10JpuwU1,"$10 isn't really a lot of money today, so I just split it equally between the two of us because I think it's nice and I would feel honored if my partner did the same for me.",SOCIALNORM
R_3fPpqG32QKGtNRK,I split the money fifty-fifty because my partner and I had just met prior to the study. I felt as if neither of us would be comfortable with taking more money than the other.,SOCIALNORM
R_6DOSRp2h1HvXM9V,I gave the other participant $5 so it was equal. We both would receive the same amount.,SOCIALNORM
R_6Les3rzd5SHp79y,"I split it evenly. I don't know anything about my partner, so I can't assume that he would need the money more than me. So, I just gave him half and I kept half.",SOCIALNORM
R_6EFwSIbHthmaJip,"I thought splitting the money in half was the fairest option. Even though you can't do much with $5 each, I thought it would be nice to keep the amount equal because $5 is still $5 we didn't have before.",SOCIALNORM
R_1vw0IEAZCnBpj2x,When asked to allocate this proportion of money I decided to split it evenly. I did this because it seemed most fair and just.,SOCIALNORM
R_1z6JOIfKtivi3pJ,"Because I took 6 oatmeal packets, I should only get $4. That way, we both get 10 items in total out of the 20 items.",SOCIALNORM
R_6BNxp7RsNtqnFL3,I do not need $10. I do not know the situation of my study partner  so I just gave it to them.,SATIATION
R_1Gpqa2VKMIT7pwK,10$ doesn't get you anything in this economy,SATIATION
R_7CU9jTIdrOJlxgz,I do not really know this person very well at all. I thought giving them a dollar out of the $10 would be nice but I don't know them so I did not split it even.,SOCIALNORM
R_702e3HpRGwgDr4N,I choose 50/50 share. I think she is kind. She deserved to have half of the money.,SOCIALNORM
R_5HTSf1aFRRdFXFc,"It's considerate to do an even slip. There's nothing that we know, since we just met each other that would indicate we should divide it differently.",SOCIALNORM
R_6pfP0c4WEQwnAwY,"I divided up the 10 bills in half to share, so i would get 5 and my partner would get 5. I felt like that was a fair way to do it and it made sure it was distributed evenly. since I don't know my parter well enough, I couldnt decide if she may need to money more or less than me, so i fugured I would split it 50-50.",SOCIALNORM
R_1BlChKHfQNZPS1y,I decided to split the money evenly between the two of us because I don't think that it's fair to take more. We both could use the money on something we want so I decided to split the money.,SOCIALNORM
R_7WwszGq6tEjVUVX,"I would split the money so that we both got $5, because although I could have allocated more to myself, we are both better off and it is fair that we split the money evenly. We are both doing the same amount of work in this study/class and as college students, we could both use $5.",SOCIALNORM
R_58M77OJw85aGRXI,I just want to be fair. I would have wanted them to give me some money as well.,SOCIALNORM
R_3ffRyxYhBevSK0z,"I thought it was fair, and they were likely being asked the same questions.",SOCIALNORM
R_3g8ywbBwsGReQ0x,I split these even because money is something that almost everyone values so I thought it would only be fair to do it this way.,SOCIALNORM
R_3IC4dkEJ2DlJEVr,"I allocated the amount of 10 dollars to myself and none to my partner because as a college student I need as much money as I can get. It is nothing against my partner, but I would love that money for myself and spend it how I want.",OTHER
R_5Ey4DwBATJke6Xb,I have no issue with splitting the $10 evenly so that both of us are fairly compensated. I would feel bad if I took extra for myself when I don't really need it.,SOCIALNORM
R_7q1Fl3JSIVn3kxp,I would split the money in half with them because thats what i would want them to do for me,SOCIALNORM
R_1OoSljyK7oOTmJw,It only seems fair to give each of us five. Since we don't know each other well it makes it simpler to just split them.,SOCIALNORM
R_6FEfys9CdrrQMm6,I do not know her that well. I could use $10. I do not feel the need to split it with someone I don't know.,SATIATION
R_6kBW992pcIZrEH8,it is fair. My partner has good vibes.,SOCIALNORM
R_3rpQNSlG3HVyfD3,"I wanted it to be fair, and I did not want to be greedy.",SOCIALNORM
R_6ldGa33LJQFHEmB,"Well i put 10 because i didn't have a partner, but hypothetically if i did we could go 5 and 5 just so there's no bad blood between us and I didn't plan on getting 10 anyways so any amount is good to me. Plus, good karma points",SOCIALNORM
R_3y4QwJmQv4tdSp3,I think this resource is equally beneficial to each of us to I split it equally between us. Both could benefit from 5 dollars.,SOCIALNORM
R_3EAGK3B0XohFw8P,"I feel like people can use money for either what they want or what they need, so if I am proposed with the challenge of taking or the splitting the money, I feel that it wouldn't be fair if I took more than my partner. Especially if my partner knew, I would feel even worse. If I split it evenly then we both benefit equally.",SOCIALNORM
R_3f6Cv41aqHs4bTm,Typically everyone wants money. I would not want my partner to be upset if I took an unfair amount,SOCIALNORM
R_6ON2HbvTAVaPGe1,I chose to keep the money. I wanted to keep the money because I wanted the money for myself.,OTHER
R_63wCU7gNPmkiSv4,"I gave my partner 5 and me 5 because as much as I would enjoy all $10, it is not that much money and I did not mind splitting it evenly.",SATIATION
R_1gT2ErxLXwPFSxt,I split it 50 50. There was no reason for splitting it so that was the most even.,SOCIALNORM
R_1JLzWhrk9YuPtLs,"I chose to split the amount of money evenly between us. We both want money I'm assuming as anyone would, so I want to keep it fair. I would hope that she would do the same.",SOCIALNORM
R_7HRdvtd1YbBWwed,"Seeing as I don't know this person at all, I'd feel slightly strange offering them money out of nowhere. I also think I'd be able to put it to good use, while I don't really know this person enough to say the same.",OTHER
R_3Y2NMzaevqx8wbB,I was given 10 dollars for free with no personal cost and was given the task to allocate it so its only fair if I allocate that money fairly because I deserve it as much as the other person since neither of us did anything to earn it,SOCIALNORM
R_1o4HakvLg9bcfsc,"I decided that we each get 5 dollars because I believe it is the fairest. Also, if one of us got 7 and the other got 3 there isn't much you can do with 3 dollars so at that point you might as well go 10 and 0.",SOCIALNORM
R_3uK76hEd1Hdaiui,I thought it was only fair to give her half. It would be selfish for me to take all of the money,SOCIALNORM
R_3dQc2WIfRWz40eT,"Even split, win win",SOCIALNORM
R_1FIrccdG1FuTrAi,"I split the bills evenly because that is what's fair. I didn't choose to be the one making the decision, so I shouldn't be able to choose who gets more. I would expect the same level of fairness from my partner or anyone else making this decision.",SOCIALNORM
R_6K2sbpej2C9llZ2,I gave myself 6 dollars and the other participant 4 dollars because I was thinking more about myself in this case with inflation having a huge toll in the economy anything more than 5 dollars will be able to get me groceries or food so that's why I chose to give myself more.,DESIRABILITY
R_6QrT6vn1XXRYCtk,i cannot be selfish so half half. he has every right to the amount i have,SOCIALNORM
R_7im1zR6fJdDkb2w,"I allocated $5 to myself and $5 to my partner because I believe that is fair to split the $10 evenly between the both of us. I would always try to split something evenly between us, and if there was an odd amount of dollars, then I would happily take less and give more.",SOCIALNORM
R_3ghgAICsL5S4Cld,Same Explanation. She worked as hard as me and therefore we should be paid equally. I would feel bad if I would give myself more.,SOCIALNORM
R_7mn1yBYp9J9XI0U,I split the money 50/50 because it was a gift allocated to both of us. I didn't do anything more to deserve it so it should be split evenly.,SOCIALNORM
