ID,explain_nonmoney,classification_nonmoney
R_6BIfMXfAyE8fHm9,we were given an even number so it is only fair if we split them evenly,SOCIALNORM
R_71cIali32krfPjS,I split the 10 pens equally amongst the two of us. I don't really want or need more than like 2 pens but split equally to make it fair. I would later ask if they wanted more because I don't really need 5 pens.,SATIATION
R_6IjixZHQf4wh6Fz,Ballpoint pens are not that valuable to me. It made sense to me to just split them evenly.,SOCIALNORM
R_5nIB3Uug9ZUvusd,I feel like we don't owe each other anything and won't ever do anything together so we may as well be fair about splitting things up. If it were a friend my answer may be different depending on who.,SOCIALNORM
R_5HXJbE5vpnxOUuz,I think it is appropriate to share this time as the task is boring.,SOCIALNORM
R_6kKYL2nZMt2CLJv,"I wanted to be fair to both me and this other random participant, so I decided 5 minutes each. I did not want any distributive injustices, so I decided for equality.",SOCIALNORM
R_3OXu0AzMNOjvBAd,I didnt know this person and i would feel bad if i took all the minutes off,SOCIALNORM
R_3F312Mgj0skmq1m,i split it evenly so its fair and nice to both parties,SOCIALNORM
R_7MxGzf2rOo59Plg,I just split this in half to divide the work up evenly,SOCIALNORM
R_5G2s8RCCqbzbDOg,"Like the example above I thought it was fair to split it halfway. If we are given 10 minutes of music, why not split the time 5 and 5. This would be a fair decision to split up the time.",SOCIALNORM
R_6F2qRBjuqkfUGMe,I feel like I could deal with searching for the letter E and it would not bore me too much. And stopping to listen to music for not even that long would not be needed for me.,SATIATION
R_5eRLNd0GCC1WcUF,I gave us each equal amount of time off. I thought that was fair and she was friendly.,SOCIALNORM
R_6EHlFmzyNWGu9Jm,I split the time evenly because I feel it is the fairest. I don't want this person to feel offended to upset if I got more minutes than her so that is why I made it even. I think we would both be content with 5 minutes.,SOCIALNORM
R_5qfK1yWyr3c6iLd,"I decided to split to 10 minutes off total right down the middle, 5 minutes off for me and 5 minutes off for my partner. I decided to split it in half because I thought that would only be fair as we were both doing the same amount of work. It wouldn't be fair if one of us got a longer break despite having spent the same amount of time on this assignment.",SOCIALNORM
R_33jVdMtfu1y5gPv,I don't know my partner at all other than when we talked before coming in. I think since we are both in the same position of getting randomly put together and we are both participants in the same study it is only fair if we split the 10-minute music time into 5 and 5.,SOCIALNORM
R_3UqRyqHbaQE58eR,I gave the other participant 5 minutes. This was because there were 10 minutes in total between the two of us. That is the fairest way to split the minutes up.,SOCIALNORM
R_5VjCTIS0Bf7aJvH,i feel like it was only fair. this was i could spend half off and so could my partner,SOCIALNORM
R_3kNghLenr1hs9pc,"Again, if the study was very boring and we both had to endure it, I would rather us each have 5 minutes to listen to music. I feel that this is the fairest way to go about it.",SOCIALNORM
R_7W9SXUKxWNoRRFn,"I thought that if we were both doing the task we would tire less from both having time away for the task. While the time was given to me, I didn't think it was fair for me to get all of it while my partner was stuck doing more work.",SOCIALNORM
R_6msjMToXojQ8gUy,"splitting the time evenly is the most reasonable options. since i do not know my partner, i would prefer to split the time in the fairest way.",SOCIALNORM
R_6kOgobQCssl1cjS,it is fair to split it,SOCIALNORM
R_6qql59HU0vlg8jT,It just makes the most sense to me for the time to be split evenly between us. I would feel awkward taking more time than my partner.,SOCIALNORM
R_1FxZWcS32ruEz38,I split the time evenly so the both of us could have the same amount of time listening to music and also crossing out the e's in the paragraphs.,SOCIALNORM
R_31XVl4J0dvPrpIS,it is fair that we spend the same time doing the same task,SOCIALNORM
R_5aS9B3X8y9fFujy,"Again, I decided to split the time evenly. I can't really think of another way to do it that is not unfair or rude.",SOCIALNORM
R_3TY5MKTyAyltH1W,I think that splitting the time evenly is far as I do not want to be selfish. I dividing it is also the best way so there are not arguments.,SOCIALNORM
R_6wFSlXwjK1dhu0o,"As college students, pens are useful to us. Maybe I would ask the other person if they handwrite notes more often than I do and split it that way, but otherwise I think it is still reasonable to split evenly.",SOCIALNORM
R_7FFzvVGhril1ZOS,"I would have given more pens to the other participant, but I'm not sure they would need or even want more than 1 or maybe 2 pens for themselves, and I tend to lose lots of writing utensils, so I believe it would be most efficient to split that way. This way I could take the pens off their hands for them.",SATIATION
R_7oI3SIxeT9kjqu6,"Not that I necessarily need more pens, but splitting seems fair to me in this situation. When offered an even amount, splitting is always the best option to ensure fairness.",SOCIALNORM
R_5DV7FP8u3GnBTsB,"I also split the minutes in half. We each get 5 minutes, enough to listen to some music and relax, then get back to work.",SOCIALNORM
R_1Kqorv1h0N3VCjo,"I think the money is more important to split, so I didn't mind being a little greedy and keeping this to myself",FUNGIBILITY
R_3iWpSH1sh5gONV5,"i split the 10 minutes because i think it's only fair. it's a win-win situation as we are both getting shorter working time. i also really don't mind repetitive tasks, i actually think i would enjoy the crossing out e's task.",SOCIALNORM
