ID,period,resource,score,donation,ID_ses,payoff,timestamp,session,session_comment,cqtrials,age,gender,bidtissue,regrettissue,socnorm,desirability,dmu,fung,perish,bid,buy
m2hfzvvk,1,Money,37,2,451,8,2023-03-23T16:00:40Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",2,21,Female,0.1,no,2,7,7,7,1,NA,NA
owuxiq18,1,Money,74,2,402,7.4,2023-03-23T16:00:48Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",2,22,Male,0.6,no,7,7,4,1,5,NA,NA
qyvp6o6k,1,Money,34,0,217,10,2023-03-23T16:00:50Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",1,20,Female,0.1,no,2,7,7,7,1,NA,NA
iz0of12s,1,Money,0,0,319,10,2023-03-23T16:00:50Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",1,21,Female,0.08,no,3,7,4,7,1,NA,NA
b2622qo7,1,Money,19,5,382,0,2023-03-23T16:00:50Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",1,23,Male,0,no,3,7,4,1,1,NA,NA
9tl30n4x,1,Money,50,3,145,7,2023-03-23T16:00:51Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",1,21,Female,0.5,no,3,7,6,7,3,NA,NA
xh0hueex,1,Money,30,0,523,0,2023-03-23T16:00:51Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",2,19,Female,0.1,no,2,7,4,7,1,NA,NA
ddyrmskn,1,Money,81,5,615,5,2023-03-23T16:00:51Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",1,23,Female,0.3,no,7,5,4,7,1,NA,NA
1i0s21mj,1,Money,102,5,157,4.4,2023-03-23T16:00:52Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",1,20,Female,0.8,no,3,7,5,7,2,NA,NA
8wgnfyn9,1,Money,89,2,634,8,2023-03-23T16:00:52Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",1,22,Male,0.2,no,5,6,4,7,1,NA,NA
x69maqa0,1,Money,26,0,281,10,2023-03-23T16:00:52Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",1,20,Male,0,no,7,7,7,7,1,NA,NA
tid1nbzg,1,Money,53,4,259,6,2023-03-23T16:00:53Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",1,18,Female,0.4,no,6,6,5,7,1,NA,NA
21f05xy1,1,Money,29,2,536,5,2023-03-23T16:00:53Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",1,21,Female,0.1,no,4,6,4,7,1,NA,NA
9ekvyb87,1,Money,67,5,672,2,2023-03-23T16:00:53Z,orafbb1k,"RAS, tres peu de sujets (22). sujet 579 particulierement lente",1,21,Male,0.5,no,6,5,4,7,7,NA,NA
