ID,explain_nonmoney
R_5gkFPADTS8ChOFG,i dont like oatmeal cookies that much i wouldve taken half just to give to a friend
R_7yNuX0OR7rZvvdT,"Same situation, I think it's the right thing to do. I wouldn't like if she gave me any less, so I won't do that to her"
R_6DvvLpE32XhfovG,Because I do not want the sugar packets. I also do not eat oatmeal.
R_3eQYiMpzbwQLOWu,I really like the brown sugar oatmeal packets and I am not sure if my partner does so I just decided to give one more to myself since I knew I would really appreciate it. If they also really like them maybe I would go back on that and split them evenly.
R_3PTNTTt4Jv1cQUx,I do not like brown sugar oatmeal
R_6SxbLLXTTD6eETY,I evenly distributed the brown sugar oatmeal because I already have several packets of instant oatmeal at home and this is less valuable to me than straight money. It seemed fair to evenly distribute it then 50/50.
R_7jNYCeh1AOup6yJ,I personally do not really like that type of oatmeal & I figure I would try 2 and then the rest he can have. If it does not like oatmeal maybe he has roommates or friends that can eat them.
R_5PcHHuUTeoKgTKK,"I have no desire for the packets. If my partner feels the same way she can throw them away or give them to someone else. If she wants them, she can keep them."
R_3CfIXPxSxaziz9T,"I think the brown sugar should be split evenly. regardless of what the product is, the best way to have both people satisfied with the result is by splitting it 50/50."
R_3qNH9SlfkTNMRGR,Split it evenly and felt that was fair to share
R_1ERsI5tKN5pw85g,"I don't really need these oatmeal packets, but I wouldn't mind trying them out."
R_5JgXhzrJXG3rozy,I gave us each 5 so we each get half so it fair for both of us. We ach get the same amount.
R_1HZeEIcEz4Xok3P,"I chose to do 5 and 5 because it felt fair. I am personally a fan of oatmeal packets, so didn't want to give them all away, but also didn't want to not give some to my partner."
R_7B8W4xhgpm3svgo,I thought it would be nice to share with them. Oatmeal is awesome
R_65HQsxqWpUUZyBX,"I allocated the portion of brown sugar oatmeal packets evenly between myself and the other participant because I believe that we both would want and use the product so it would only be fair to share. If there's an even demand between the two of us, then the item in question should be shared evenly."
R_139WcT7S0DVGvHL,I split them evenly. I thought this would be the fairest.
R_1in4gKFencMMvT3,it is the most fair if we split them evenly. even if neither of us want it it is the most fair.
R_7BVk9Sk10JpuwU1,I split them in half between us because the oatmeal packets are nice but they don't really have much significance to me (I don't need them)
R_3fPpqG32QKGtNRK,"I allocated only 3 to myself and 7 to my partner because I do not consume oatmeal very often at all. I enjoy oatmeal on the occasion, but I assumed my partner may have had more use for the oatmeal than I did."
R_6DOSRp2h1HvXM9V,I gave the other participant 5 packets so it would be equal. We both would receive the same amount.
R_6Les3rzd5SHp79y,I split it evenly. I don't know if he likes oatmeal packets. Me personally I am not the biggest fan but I will eat it if I have it available.
R_6EFwSIbHthmaJip,"I don't really like oatmeal, so I decided that I would keep a couple for myself and let my partner have the rest. In addition, I don't usually eat breakfast, so I thought giving my partner more might better benefit them then it would benefit me."
R_1vw0IEAZCnBpj2x,When asked to allocate the proportion of brown sugar I decided to split it evenly. I did this because I thought it would be fair.
R_1z6JOIfKtivi3pJ,"Because I took only $4, I also took 6 oatmeal packets. Also, I am interested in trying this cereal. Furthermore, we both get 10 items in total out of the 20 items."
R_6BNxp7RsNtqnFL3,"I can't eat oatmeal. So, I gave them all to my study partner."
R_1Gpqa2VKMIT7pwK,split it evenly
R_7CU9jTIdrOJlxgz,"I don't eat instant brown sugar oatmeal, so I would give all 10 to my partner."
R_702e3HpRGwgDr4N,"I still choose 50/50 share. I mean I am not a fan of sugar oatmeal, but I am not sure if she likes it or not. That's why I choose to give her half of the sugar oatmeal packets."
